"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.290322580645,163.109708315194,163.109708315194,165.142369020501,165.441176470588,167.157623019273,168.874373165731,168.421052631579,166.666666666667,166.666666666667,166.32674982675,166.921739130435,166.898470097357,167.114867460622,168.532074967154,172.791314297887,173.703901656868,174.330900243309,175.608818033739,174.885442299406,174.867617107943,174.129353233831,174.311926605505,175.883256528418,179.089817985927,179.96624156039,181.775706992386,183.177570093458,182.620547203034,183.331589228408,183.098591549296,183.210172615545,183.25,182.164634146341,183.068459657702,184.338983050847,186.306846576712,186.991869918699,188.327225581472,189.023109243697,190.051551870748,190.497335701599,191.788181120491,192.601944993461,193.031066330814,193.107546048723,194.601279928237,196.306585056536,198.202857142857,200.337860780985,202.366127023661,203.83275261324,204.241948153967
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.615842796705,144.44862871912,145.106180481783,146.493212669683,150.655307994758,153.805215540181,156.142113095238,159.437020396931,160.818713450292,160.486503564635,160.311958405546,159.498480243161,157.634993721222,155.973068935017,161.55758077879,161.458333333333,163.876598367339,165.20979020979,166.666666666667,168.545081967213,169.430272108844,170.190744680851,171.173762945915,172.383779231074,172.282842785355,172.275641025641,171.790235081374,171.232876712329,175.78125,178.484107579462,181.746865299854,183.640303358613,186.458333333333,184.531231445197,183.292533659731,182.481751824818,182.472219195991,182.481751824818,182.142857142857,185.243825205826,187.570356472796,189.885159010601,192.532797116865,191.275167785235,192.819951630951,194.405517173216,196.947697058434,196.408202064096,195.664335664336,194.008559201141,193.868349864743,196.106299256485,198.674973674974
"Clark","NV","Las Vegas","32","003",13,84.7457627118644,85.6443950786056,84.1661987647389,83.0232558139535,81.5981992121553,80.2939575394665,78.3620965104599,76.9230769230769,74.9920229738354,74.3934415558687,70.0262927256792,67.3758865248227,64.110492316298,62.133918128655,61.6172316384181,60.8725391066437,61.7283950617284,61.7249819193621,61.567131873102,62.4269119559418,62.0104438642298,61.1620795107034,60.8267569898611,59.9261311172668,59.8562013181546,61.6586119565975,63.1988332523092,64.8252536640361,68.3671980290661,70.1195090931568,69.0335305719921,70.0636942675159,71.3090551181102,72.2543352601156,76.6526019690577,79.0124646864246,81.1751063007344,82.5747724317295,84.8962945435,87.5670649482183,90.1230117404114,93.391773432232,94.9750178253119,99.3357487922705,100.874036975424,102.187347931873,102.993656172153,102.945517896737,101.812502916518,102.805486284289,104.529616724739,106.097233413914,107.41796875,108.157524613221,108.585055643879,110.302197802198,110.808373664506,111.071177824202,110.403120936281,110.95792335936,112.211789905604,113.865147198481,115.237288135593,115.996219309472,117.647058823529,117.959220506081,119.283986217935,119.697272122422,120.532545388659,120.847932431902,121.156208392389,121.127502634352,121.593673965937,121.317157712305,123.492245835727,125.925925925926,127.31177937367,127.870563674322,128.305519897304,129.077490774908,129.705915524728,130.193905817175,130.697050938338,131.012831012831,132.183908045977,133.853590787221,135.823429541596,137.669208058396,139.136394790953,140.733044716902,143.071536144578,145.272727272727,147.408882986572,148.367952522255,149.717514124294,151.331719128329,152.970473141231,155.40799817469,157.043728880938
"King","WA","Seattle","53","033",14,220.48,220,218.625,218.69918699187,218.844221105528,216.817359855335,215,211.340206185567,206.923076923077,199.074074074074,193.807416772019,189.393939393939,180,175.550371279075,174.642857142857,166.098807495741,165.350620419087,165.431654676259,165.626635144414,165.795454545455,163.322147651007,157.004830917874,153.770491803279,148.098544973545,145.413636363636,151.515,157.58547008547,162.127425851337,165.067830319895,167.521367521368,168.243243243243,164.297280143655,165.617760617761,161.587452471483,186.381578947368,181.9533428552,183.168545445934,189.60244648318,196.225,204.457831325301,211.145833333333,215.654952076677,217.57448966654,217.245989304813,218.518518518519,217.452401545923,210.219270166453,205.854800936768,202.913950296554,206.90572267058,215.135769258275,221.392405063291,217.926324039861,229.166666666667,229.718468468468,228.253968253968,228.721058434399,226.432271447931,216.528662420382,202.192374350087,209.170305676856,221.96261682243,233.548596482634,240.984761025167,245,247.282445883529,246.542393265183,245.089285714286,247.524752475248,247.828332734459,245.708075449455,243.553008595989,243.386243386243,257.257979271376,266.203703703704,271.428571428571,275.471698113208,279.234234234234,279.411764705882,278.862660944206,283.893885537843,284.167794316644,279.72121885709,273.061899038462,276.586345381526,286.144578313253,298.165137614679,303.025312650313,309.047619047619,313.144603934078,314.98031496063,313.836477987421,315.263157894737,321.942167707915,321.672794117647,316.588697073032,320.197044334975,329.046080583962,345.432586736935
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7722151573969,42.2743051010738,37.4712878228975,38.8962765957447,41.742141856346,48.811361247694,49.4757694897156,54.0355003931622,58.2361516034985,59.3824228028504,56.9056715265904,56.8181818181818,50.2380719188145,44.4362017804154,46.4387464387464,51.5977443609023,56.0471411968138,58.3705357142857,60.1131541725601,62.7773300027072,64.2790511727079,63.0974654628522,62.1171425389629,59.4893617021277,57.3563218390805,53.8793103448276,52.9538073825898,51.5683782872863,54.9593337237296,60.1779551803769,66.4539653600729,70.210193452381,72.3328591749644,72.9349415204678,71.2250712250712,71.0060887213685,68.3877766069547,65.8155270655271,64.3174269974081,65.3575025176234,70.9375349084004,76.6871165644172,85.2843682301047,90.4251764401,89.6768402154399,90.1844442303442,89.989406779661,86.1095165199643,80.3759391896066,74.8650634310987,74.9036458333333,73.9583333333333,84.6644899253886
"Tarrant","TX","Dallas-Fort Worth","48","439",16,76.181751557347,76.7640015319101,77.3825742831192,77.720207253886,77.5401069518717,77.1628169903355,76.8832271631407,76.650993641019,76.3106048602212,75.4082267506487,74.5694603903559,73.2541899441341,72.4275724275724,71.7516152189519,72.3472668810289,72.7627627347487,73.2279003639548,73.5551663747811,73.0332202971089,72.6736566186107,72.2080334977846,72.1254355400697,70.6666666666667,69.5236068789443,69.5614212684112,70.1166728560471,70.2408256880734,70.480313355166,71.1823509134781,72.2543128177736,71.2895575501776,70.4572828878634,70.3608907089839,71.5058889512058,76.5476518824977,76.9230769230769,77.512655830892,78.9058093626622,80.1470588235294,81.2271942832353,82.4576639166305,82.9923273657289,82.7433458002366,82.3875834058602,82.3488150320857,82.8107810781078,82.2145329349712,82.6639892904953,83.0490730643402,84.2318059299191,85.4910714285714,87.0297585626053,88.1940840685003,87.3080032336297,87.9591431792559,89.0529531568228,89.1518693401964,89.3382352941177,89.0499528408887,90.5953125465321,91.4260780506793,92.9368029739777,95.4498802600068,96.7332123411978,96.0170697012802,95.882684715172,96.0761684939411,96.3597430406852,96.9870283018868,97.2712648478389,97.653454160074,98.2155737713802,99.1586538461538,99.3491124260355,101.080599803439,102.459736456808,103.812593035925,104.957958828646,105.935556930304,106.124949979992,106.488360574542,107.55258126195,107.954545454545,107.865168539326,108.940252943742,110.683818075864,112.818433506479,113.719887955182,114.503510961049,115.37216828479,115.961897907214,115.556458164094,116.447272546322,116.85552407932,117.038649972782,117.957746478873,119.221785598048,120.461538461538,122.228130857429
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.669491525424,420.633012820513,420.629114850037,419.010123734533,416.385033192517,415.842459605027,433.425797503467,446.285140562249,452.086124401914,459.554988271864,459.49449125081,451.865600206745,447.844499586435,449.2164828787,450.676982591876,440.082644628099,433.695652173913,446.398295004969,468.4375,482.734806629834,498.332151448157,508.209558776333,509.633469445476,516.103818615752,515.268817204301,513.698630136986,515.912897822446,516.24311557789,512.176700111483,519.391241383262,539.939459459459,564.006959980114,569.999193141462,569.218241042345,559.569544214636,554.834627453675,554.809843400447,560.992366412214,555.683136469099,542.838874680307,529.58926544138,532.620320855615,560.239981360671,579.684601113173,583.100128721439,591.887792880944,585.617773644089,587.85639306515,599.346906871138,602.402499461323,619.854721549637,622.429906542056,621.331229226064,630.050505050505,658.435802469136,679.603984450923
"Broward","FL","Miami-Fort Lauderdale","12","011",18,134.756838905775,134.375724557157,129.4287780188,126.63720409469,124.398007415936,119.9,119.215372297838,118.279569892473,119.540477124978,116.189491817399,116.404981050352,113.560824285398,112.265415549598,113.213087248322,110.530010530011,109.535989581331,111.037475734905,112.264150943396,113.539889720323,112.44019138756,112.179487179487,113.308342925659,111.858058608059,111.111111111111,109.87087425032,111.170212765957,115.086425915536,106.702412868633,103.345724907063,105,107.52688172043,111.25,109.111445783133,107.8360891445,126.315789473684,126.633333333333,130.023640661939,132.317562149158,133.952104258815,137.211855104281,140.059760838182,140.71361565264,141.754670999188,140.712945590994,142.415365583928,142.992850333651,145.973490080536,146.198099415205,146.323529411765,147.218038821955,147.852527556062,147.088245088245,146.606547962567,148.273527420447,148.048452220727,147.61245347584,148.814052184641,149.44592729886,149.516270888303,149.54954954955,150.429799426934,155.330882352941,157.5,155.704671280277,154.138899941152,155.029201817002,159.124502558272,160.152415396538,159.896567397341,161.195219958281,165.103448275862,165.624280947998,166.104031644225,167.785462481879,168.088484576831,173.360107095047,174.06015037594,175.882352941176,178.614603143585,180.624717066546,182.432432432432,183.023872679045,184.125920964501,184.650696309911,184.617504876601,186.839577329491,187.674762862892,188.560993942508,189.828080229226,191.05504587156,191.544952475764,191.521486643438,192.757941965732,192.879077410775,194.361516034985,195.314556462227,196.288535645472,197.683615819209,198.168248490078
"Bexar","TX","San Antonio","48","029",19,81.5504320681386,82.2884012539185,82.7404015498415,82.7526132404181,82.8241683638832,82.597003457549,82.2787427626137,82.0568927789934,82.1428571428571,81.8181818181818,80.5921052631579,80.0873605561106,79.9598045943959,79.9259259259259,79.7892173195615,80.2648673376029,80.9464508094645,80.8407437348424,80.2122347066167,79.4526849447621,78.2976158849681,77.751503006012,76.271186440678,75.4126351735914,76.2339240980729,75.7142857142857,76.5269679300292,77.2413793103448,77.6639922554783,78.8247939806521,78.1818181818182,78.1392981478903,78.0120996164745,79.1666666666667,82.8492392807746,83.1465060509732,83.9542970690512,86.2031484257871,87.5101051077306,87.9120879120879,88.7792310741181,90.0393922341024,90.3280783979548,90.4930846605197,91.3536585365854,93.016599885518,92.4832743014561,93.7191768385728,93.9363817097416,95.8584169453735,96.7838770844484,97.3296244784423,98.277027027027,97.4250211681219,96.8932391687398,98.5653186718362,97.9180976978635,97.7610138805069,97.7573765983731,99.4423791821561,100.305639590225,101.984009740515,100.937971688616,103.132062619971,103.478773584906,104.336864527754,105.072463768116,105.402624671916,106.273902680432,105.305873969537,105.799872530274,107.163828537874,107.775103124002,106.520367322033,107.245096533006,107.243816254417,107.66793409379,108.450130054633,108.786764705882,108.972669071715,108.367626886145,109.424695977549,109.529923725171,108.773322747122,109.710675091453,110.698494072413,112.194972086385,113.346773945972,114.639183759244,115.577574047955,115.853658536585,115.384615384615,116.329966329966,115.439599714081,115.313653136531,116.092258748674,116.029222174474,115.990057995029,116.079632465544
"Philadelphia","PA","Philadelphia","42","101",20,106.026785714286,107.988721804511,114.526771496815,114.360896045977,113.957597173145,114.013266998342,114.564913173462,109.746661652214,112.024456521739,110,107.142857142857,102.621697651663,105.540581012279,107.873015873016,109.202059202059,106.706339488923,110.243055555556,107.745098039216,105.307483535707,105.68922743127,103.437724222344,100.469398152091,99.5866285881664,93.6393960674157,95.5637423547401,99.3333333333333,98.3786603846143,98.6535008976661,102.185314685315,103.665283540802,99.9166666666667,97.4754558204769,95.8333333333333,97.6632504480287,104.151291512915,101.410934744268,101.16875958589,104.146701388889,110.24451318309,113.78956155633,116.583333333333,118.976403061224,114.444444444444,111.025443330763,111.111111111111,110.932203389831,109.22890103218,108.108108108108,106.939799331104,108.721531361651,115.638148667602,121.440972222222,122.16517236586,121.529654654655,117.089371980676,113.970588235294,113.587691988377,113.40206185567,110.236220472441,102.911931818182,105.448154657294,111.010101010101,117.058823529412,121.554900515844,124.8046875,123.273736128237,119.724025974026,117.044319200717,115.590742996346,116.291291291291,116.25,111.087037037037,109.726224747475,109.730227272727,115.22491349481,120.487804878049,123.136333002721,123.118279569892,121.399879657186,118.743846879265,119.07604832978,121.442207138176,118.684732528348,116.228070175439,118.968253968254,119.806054002038,129.145728643216,138.962264150943,142.767857142857,142.767851600603,141.491608809191,138.059701492537,144.545454545455,147.433197243644,145,140.21492925701,138.888888888889,142.404980846258,149.029056515731
